,close_time,o,h,l,c,v
0,2020-01-27 19:59:59.999,171.25,172.56,170.26,171.2,35922.69229
1,2020-01-27 20:59:59.999,171.2,172.0,171.0,171.97,11944.18314
2,2020-01-27 21:59:59.999,171.99,172.04,170.64,171.59,12770.04315
3,2020-01-27 22:59:59.999,171.58,171.66,169.63,170.2,9153.37013
4,2020-01-27 23:59:59.999,170.2,170.85,169.88,170.08,9718.31252
5,2020-01-28 00:59:59.999,170.04,172.75,170.03,171.44,22419.0878
6,2020-01-28 01:59:59.999,171.44,174.0,171.44,173.41,30317.78399
7,2020-01-28 02:59:59.999,173.43,173.56,172.66,173.26,12813.64597
8,2020-01-28 03:59:59.999,173.26,173.31,172.1,173.12,10792.14222
9,2020-01-28 04:59:59.999,173.12,173.72,172.26,172.43,18242.83565
10,2020-01-28 05:59:59.999,172.41,172.75,171.22,172.14,15695.92268
11,2020-01-28 06:59:59.999,172.1,172.46,170.65,171.54,16541.23092
12,2020-01-28 07:59:59.999,171.55,172.98,171.24,172.0,24513.95345
13,2020-01-28 08:59:59.999,171.98,171.98,170.83,171.0,15399.47185
14,2020-01-28 09:59:59.999,171.03,171.49,170.54,170.7,13056.51904
15,2020-01-28 10:59:59.999,170.7,172.21,170.23,171.89,14347.61173
16,2020-01-28 11:59:59.999,171.88,173.13,171.44,171.95,19999.63103
17,2020-01-28 12:59:59.999,171.93,172.08,170.51,171.48,18734.31805
18,2020-01-28 13:59:59.999,171.51,172.57,171.16,172.0,19685.12818
19,2020-01-28 14:59:59.999,172.0,174.55,171.8,172.14,44363.82419
20,2020-01-28 15:59:59.999,172.14,173.06,170.64,172.35,46304.63722
21,2020-01-28 16:59:59.999,172.34,172.96,171.06,171.1,17444.90435
22,2020-01-28 17:59:59.999,171.11,171.53,170.04,171.03,17154.59569
23,2020-01-28 18:59:59.999,171.01,171.7,170.71,170.97,8056.98866
24,2020-01-28 19:59:59.999,170.95,171.86,170.6,171.23,8674.56377
25,2020-01-28 20:59:59.999,171.18,172.75,171.15,172.43,11613.80143
26,2020-01-28 21:59:59.999,172.44,174.01,171.95,171.95,13819.0884
27,2020-01-28 22:59:59.999,171.94,174.29,171.92,173.6,9552.85426
28,2020-01-28 23:59:59.999,173.58,176.2,173.19,175.64,43889.35556
29,2020-01-29 00:59:59.999,175.58,176.99,175.14,175.8,27001.99772
30,2020-01-29 01:59:59.999,175.8,177.56,175.76,176.89,20178.21516
31,2020-01-29 02:59:59.999,176.89,177.37,175.53,175.79,14554.50032
32,2020-01-29 03:59:59.999,175.83,176.8,175.79,176.47,12925.45673
33,2020-01-29 04:59:59.999,176.47,177.15,175.86,176.33,10791.60453
34,2020-01-29 05:59:59.999,176.33,177.06,176.22,176.8,9889.75386
35,2020-01-29 06:59:59.999,176.8,178.45,176.75,177.46,16085.55873
36,2020-01-29 07:59:59.999,177.42,178.3,176.82,178.08,19499.68598
37,2020-01-29 08:59:59.999,178.03,178.35,177.57,178.32,10069.03104
38,2020-01-29 09:59:59.999,178.33,178.35,176.05,176.39,14872.28059
39,2020-01-29 10:59:59.999,176.38,178.14,174.53,177.75,27430.24595
40,2020-01-29 11:59:59.999,177.77,177.92,175.0,176.17,19941.23853
41,2020-01-29 12:59:59.999,176.19,176.34,174.8,175.59,10141.33124
42,2020-01-29 13:59:59.999,175.59,176.54,175.01,175.83,11386.71179
43,2020-01-29 14:59:59.999,175.87,176.53,175.14,176.43,7457.11162
44,2020-01-29 15:59:59.999,176.43,176.49,174.93,175.09,11617.08476
45,2020-01-29 16:59:59.999,175.1,177.13,174.59,176.79,13267.92985
46,2020-01-29 17:59:59.999,176.79,176.9,175.91,176.1,8486.02958
47,2020-01-29 18:59:59.999,176.11,176.69,175.96,176.38,5377.8967
48,2020-01-29 19:59:59.999,176.38,176.92,175.63,176.63,8314.16931
49,2020-01-29 20:59:59.999,176.63,176.83,175.55,176.5,6439.49843
50,2020-01-29 21:59:59.999,176.46,177.24,175.49,176.11,12723.92116
51,2020-01-29 22:59:59.999,176.11,176.37,175.25,175.88,4909.02246
52,2020-01-29 23:59:59.999,175.85,176.11,173.33,173.72,14022.62557
53,2020-01-30 00:59:59.999,173.68,173.98,170.93,173.02,29183.3772
54,2020-01-30 01:59:59.999,173.0,174.0,171.87,173.85,9262.6969
55,2020-01-30 02:59:59.999,173.83,173.83,171.94,172.35,7666.79206
56,2020-01-30 03:59:59.999,172.34,173.49,172.27,173.44,6451.73253
57,2020-01-30 04:59:59.999,173.44,174.6,173.37,174.25,10408.54086
58,2020-01-30 05:59:59.999,174.27,174.5,173.62,173.85,12642.02063
59,2020-01-30 06:59:59.999,173.85,174.35,173.41,174.01,9231.28166
60,2020-01-30 07:59:59.999,174.01,176.55,174.01,176.09,19563.9123
61,2020-01-30 08:59:59.999,176.07,176.8,175.41,175.97,14018.82326
62,2020-01-30 09:59:59.999,175.96,176.63,174.83,175.83,11288.87302
63,2020-01-30 10:59:59.999,175.82,176.09,174.69,174.79,6040.39556
