,close_time,o,h,l,c,v
0,2020-01-16 20:00:00,163.36,164.02,163.24,163.57,7087.67028
1,2020-01-16 21:00:00,163.56,165.67,163.5,165.56,14076.13853
2,2020-01-16 22:00:00,165.55,165.88,162.31,163.39,23700.39404
3,2020-01-16 23:00:00,163.4,164.38,162.83,164.14,8014.44161
4,2020-01-17 00:00:00,164.11,165.0,163.3,164.21,10432.75359
5,2020-01-17 01:00:00,164.24,165.25,162.14,163.78,23576.00106
6,2020-01-17 02:00:00,163.73,165.1,163.42,164.86,11699.01698
7,2020-01-17 03:00:00,165.01,167.23,164.6,165.67,28721.3465
8,2020-01-17 04:00:00,165.74,167.44,164.86,165.14,31402.92246
9,2020-01-17 05:00:00,165.14,166.76,164.85,166.66,19340.42443
10,2020-01-17 06:00:00,166.68,170.32,165.96,169.94,56439.19709
11,2020-01-17 07:00:00,169.99,171.39,167.58,168.04,63315.8889
12,2020-01-17 08:00:00,168.03,171.51,167.54,171.08,51386.93815
13,2020-01-17 09:00:00,171.08,174.81,169.86,171.66,75905.38108
14,2020-01-17 10:00:00,171.61,173.15,171.09,172.08,27659.43431
15,2020-01-17 11:00:00,172.08,172.65,169.66,170.78,41707.8277
16,2020-01-17 12:00:00,170.77,171.15,169.8,169.99,12251.72839
17,2020-01-17 13:00:00,169.98,170.24,167.25,168.02,33831.6629
18,2020-01-17 14:00:00,168.02,169.45,167.9,168.59,14160.86156
19,2020-01-17 15:00:00,168.61,168.63,165.13,166.29,34471.8647
20,2020-01-17 16:00:00,166.29,168.54,166.0,168.34,19141.7059
21,2020-01-17 17:00:00,168.31,171.39,167.6,170.04,49929.44516
22,2020-01-17 18:00:00,170.0,171.5,169.46,170.35,30525.99882
23,2020-01-17 19:00:00,170.35,173.25,170.25,172.37,30662.9181
24,2020-01-17 20:00:00,172.4,173.72,167.02,169.23,50728.737
25,2020-01-17 21:00:00,169.23,170.61,168.42,169.13,24272.77233
26,2020-01-17 22:00:00,169.08,171.48,169.01,171.32,7566.35793
27,2020-01-17 23:00:00,171.34,173.38,170.77,171.75,14094.84196
28,2020-01-18 00:00:00,171.84,172.5,169.85,169.85,14387.40512
29,2020-01-18 01:00:00,169.92,173.63,169.0,173.21,30280.41385
30,2020-01-18 02:00:00,173.25,173.69,171.5,172.6,23634.45401
31,2020-01-18 03:00:00,172.66,172.91,170.65,171.18,12319.63274
32,2020-01-18 04:00:00,171.21,172.38,170.61,171.93,14266.16008
33,2020-01-18 05:00:00,171.91,171.97,168.0,168.62,25084.73616
34,2020-01-18 06:00:00,168.62,169.59,167.05,168.09,31906.58605
35,2020-01-18 07:00:00,168.1,168.23,164.92,167.92,31893.74474
36,2020-01-18 08:00:00,167.95,169.15,166.82,168.07,19195.14057
37,2020-01-18 09:00:00,168.1,168.82,167.21,168.5,10929.18222
38,2020-01-18 10:00:00,168.49,170.11,168.13,169.35,14453.54467
39,2020-01-18 11:00:00,169.34,170.03,168.76,169.01,9888.94348
40,2020-01-18 12:00:00,169.01,169.14,167.86,169.07,8994.16593
41,2020-01-18 13:00:00,169.12,171.23,168.84,171.02,23974.26282
42,2020-01-18 14:00:00,171.03,176.01,170.13,174.17,83476.55558
43,2020-01-18 15:00:00,174.15,179.5,174.1,177.24,96012.15602
44,2020-01-18 16:00:00,177.34,178.5,173.59,175.53,63513.21267
45,2020-01-18 17:00:00,175.54,177.6,172.73,173.91,73606.73432
46,2020-01-18 18:00:00,173.91,175.27,173.1,174.89,28239.54338
47,2020-01-18 19:00:00,174.89,175.25,172.84,173.86,17193.54158
48,2020-01-18 20:00:00,173.87,175.07,173.52,174.97,13037.16202
49,2020-01-18 21:00:00,174.95,175.85,174.49,175.49,11534.53905
50,2020-01-18 22:00:00,175.5,176.88,175.43,176.62,7959.5153
51,2020-01-18 23:00:00,176.61,177.0,175.74,176.92,8913.18846
52,2020-01-19 00:00:00,176.93,177.04,173.87,174.14,28476.06412
53,2020-01-19 01:00:00,174.1,176.4,173.29,176.23,21662.80188
54,2020-01-19 02:00:00,176.23,178.05,174.0,175.33,50573.06147
55,2020-01-19 03:00:00,175.3,176.65,174.52,176.33,16030.19729
56,2020-01-19 04:00:00,176.33,177.75,176.05,176.25,13837.59683
57,2020-01-19 05:00:00,176.26,176.46,175.56,175.94,13528.04873
58,2020-01-19 06:00:00,175.89,176.59,175.16,176.12,11967.86335
59,2020-01-19 07:00:00,176.12,176.67,174.6,175.36,15925.06009
60,2020-01-19 08:00:00,175.32,176.9,174.6,176.55,17647.44702
61,2020-01-19 09:00:00,176.55,176.87,175.92,176.42,10043.6581
