,close_time,o,h,l,c,v
0,2020-02-28 15:19:59.999,223.35,223.45,222.22,222.32,1599.81322
1,2020-02-28 15:24:59.999,222.28,223.11,222.0,222.91,2158.97523
2,2020-02-28 15:29:59.999,222.9,224.33,222.9,224.31,2529.41808
3,2020-02-28 15:34:59.999,224.32,225.94,223.99,225.89,7672.11859
4,2020-02-28 15:39:59.999,225.87,226.09,224.38,224.76,4349.81642
5,2020-02-28 15:44:59.999,224.76,225.31,224.33,224.5,2010.80202
6,2020-02-28 15:49:59.999,224.45,225.4,224.4,224.66,2374.19219
7,2020-02-28 15:54:59.999,224.68,226.05,224.66,226.0,2138.81301
8,2020-02-28 15:59:59.999,226.0,227.76,226.0,227.28,8357.86257
9,2020-02-28 16:04:59.999,227.23,228.55,226.46,227.53,12209.08027
10,2020-02-28 16:09:59.999,227.55,227.84,226.41,227.63,6579.23242
11,2020-02-28 16:14:59.999,227.61,227.8,226.99,227.69,5279.49022
12,2020-02-28 16:19:59.999,227.69,228.3,227.61,227.79,4467.0461
13,2020-02-28 16:24:59.999,227.86,227.93,226.14,226.24,6533.77322
14,2020-02-28 16:29:59.999,226.27,226.49,225.7,225.89,4793.08012
15,2020-02-28 16:34:59.999,225.95,227.23,225.51,227.05,2423.09694
16,2020-02-28 16:39:59.999,227.0,227.17,225.81,225.85,1933.94962
17,2020-02-28 16:44:59.999,225.9,226.22,225.01,225.31,2864.06208
18,2020-02-28 16:49:59.999,225.31,225.32,223.86,224.36,4595.1416
19,2020-02-28 16:54:59.999,224.35,224.59,223.51,223.63,4910.11515
20,2020-02-28 16:59:59.999,223.68,224.5,223.6,223.88,4490.7174
21,2020-02-28 17:04:59.999,223.88,224.3,222.6,222.85,6900.997
22,2020-02-28 17:09:59.999,222.85,223.49,222.56,222.94,4267.16139
23,2020-02-28 17:14:59.999,222.92,222.92,221.73,222.02,4402.60195
24,2020-02-28 17:19:59.999,221.99,222.3,221.61,222.16,3325.14224
25,2020-02-28 17:24:59.999,222.13,223.1,222.02,223.03,1729.4158
26,2020-02-28 17:29:59.999,223.04,224.07,222.86,223.6,3417.72009
27,2020-02-28 17:34:59.999,223.6,223.72,221.35,222.09,7335.49706
28,2020-02-28 17:39:59.999,222.16,222.22,220.83,221.28,10705.18016
29,2020-02-28 17:44:59.999,221.27,221.73,220.0,220.3,8952.92764
30,2020-02-28 17:49:59.999,220.3,223.55,220.26,223.53,6034.34675
31,2020-02-28 17:54:59.999,223.44,223.48,222.33,222.33,7565.21997
32,2020-02-28 17:59:59.999,222.43,223.0,221.92,222.86,3764.74158
