,maxx,i,j,orders_long,orders_short,alpha
2,0.015752039627801775,58,0,14,14,0.22052855478922484
1,0.010026829346842722,57,0,14,14,0.1403756108557981
0,0.0045752119953302965,53,0,15,15,0.06862817992995444
