,maxx,i,j,orders_long,orders_short,alpha,min
110,2.2453493977335355,59,1,0.333331284744936,0.319442527483179,0.732852643071311,-8.904622840911447
74,2.1865305012562906,41,1,0.34777445043693334,0.31852689317294686,0.7284441054155255,-8.904622840911447
69,3.063375066755734,39,0,0.2916395859372448,0.18054328803617484,0.7232366215396193,-5.207979553983624
42,2.0408421537097703,25,1,0.32481674184197534,0.36445661181014705,0.7033490577810768,-8.904622840911447
48,2.1001641336122323,28,1,0.32790722792962984,0.3273389469699696,0.6880622576053733,-8.904622840911447
116,2.1237583521642787,62,1,0.31547432258342073,0.3223465275281825,0.6772886788045188,-8.904622840911447
30,1.8896438072433535,19,1,0.3510413641709052,0.3550432397585568,0.6671241996025918,-8.258792073557014
50,2.0496919878217574,29,1,0.3252928162935908,0.32267340126729,0.6640655822568535,-8.904622840911447
83,3.0987668670642736,46,0,0.2083145851039948,0.21525966606223554,0.6562789276277378,-5.207979553983624
112,2.074818092508915,60,1,0.31547432258342073,0.3166648083464471,0.6557868529180758,-8.904622840911447
8,1.8593397563881588,8,1,0.35660250349386274,0.33937235796904947,0.6470268646823669,-3.3260698551510064
76,1.964028832732173,42,1,0.32671230868598106,0.31574917403621505,0.6309064379931281,-8.904622840911447
85,2.9326928197051543,47,0,0.2083145851039948,0.21109318688921488,0.6149970807265113,-5.207979553983624
28,1.7567484932856108,18,1,0.3617808849343887,0.3376577995666363,0.6143689275714227,-5.604692499524619
46,1.884816518546231,27,1,0.32790722792962984,0.3234470115530605,0.6138416150010462,-8.904622840911447
82,1.888794658406909,45,1,0.32476240447556254,0.3224049234012022,0.6111830959945529,-8.904622840911447
78,1.8729444614282678,43,1,0.32476240447556254,0.32467760728612144,0.6081825365294775,-8.904622840911447
44,1.8820405078018982,26,1,0.3240215967588597,0.3186851725501116,0.6048000872389869,-8.904622840911447
6,1.8486026693458868,7,1,0.3341054352665131,0.31583316634388814,0.6007391169239602,-3.1933798280793817
26,1.7293148142902008,17,1,0.3629347220350338,0.3264008962458161,0.5960391483554843,-5.604692499524619
97,2.9635841623712262,53,0,0.16665000166650001,0.21525966606223554,0.565910721368669,-5.207979553983624
18,1.512213414992627,13,1,0.3770320850535179,0.3180959938791128,0.5255910030499888,-3.7452625166800444
52,1.6014293065415075,30,1,0.3252928162935908,0.3230501371618006,0.5191377031765702,-8.904622840911447
75,2.3740187172502982,42,0,0.2499791685414896,0.18054328803617484,0.5110341850559771,-5.207979553983624
118,1.5796118787860367,63,1,0.3194424537276231,0.3223465275281825,0.5068887492328298,-12.3736465490325
3,1.3915734741515768,6,0,0.3569319703963641,0.34165559762125725,0.4860679645126912,-0.6582092792397822
14,1.4706643854886687,11,1,0.33828730627991493,0.3038210375324862,0.47216293643500584,-3.7198925734635817
16,1.393320692626378,12,1,0.3450608473249452,0.31050949256216753,0.4567098600184109,-3.7198925734635817
139,2.0614166051844856,74,0,0.16665000166650001,0.26664550188148944,0.44660127298279934,-2.1858473296202607
137,2.0277962726461123,73,0,0.16665000166650001,0.2708119810545101,0.44354188899302116,-2.589291320080738
10,1.3813811193043657,9,1,0.34485305299837127,0.28118584658199414,0.4323991579151993,-3.287344535730844
95,2.5004497999015807,52,0,0.1249895842707448,0.21525966606223554,0.4253880849558818,-5.207979553983624
93,2.4502895943688707,51,0,0.1249895842707448,0.22220370543193005,0.42536205249658043,-5.207979553983624
117,2.160882662286426,63,0,0.16665000166650001,0.21525966606223554,0.4126309897772973,-5.207979553983624
62,1.2611397529923807,35,1,0.3099359205406909,0.33055177743716485,0.4038722486112258,-8.904622840911447
99,2.3725513278797083,54,0,0.16665000166650001,0.17359924866648033,0.40362940534379393,-5.207979553983624
101,2.383323495568654,55,0,0.16665000166650001,0.16943276949345967,0.40049698248067755,-5.207979553983624
91,2.3368835643249755,50,0,0.1249895842707448,0.21525966606223554,0.397561440438518,-5.207979553983624
87,2.359468282529186,48,0,0.1249895842707448,0.21109318688921488,0.3964883194282197,-5.207979553983624
12,1.287317590184284,10,1,0.31430894342104665,0.2953730849572288,0.3924271997752939,-3.424391368055578
54,1.2198572335800166,31,1,0.3093817385450974,0.3221343540443477,0.38517973683371104,-8.904622840911447
109,2.1281091182944434,59,0,0.16665000166650001,0.17359924866648033,0.3620437660632321,-5.207979553983624
60,1.0911800359125716,34,1,0.31251526044072414,0.32393808906005056,0.3472425943824659,-8.904622840911447
64,1.0538923620734328,36,1,0.30545010909337944,0.3283731258858649,0.3339907331246501,-8.904622840911447
135,1.6469525145509551,72,0,0.16665000166650001,0.23609143698670984,0.33164801255188664,-2.6280758354460545
20,1.0263687159120214,14,1,0.3352546277850015,0.3057031739408161,0.32892951795555964,-4.044336580337958
143,1.8683568940375672,76,0,0.08332500083325001,0.26664550188148944,0.3269349007284383,-2.1858473296202607
66,1.0299366091010107,37,1,0.3050153446067833,0.323908959748255,0.3238760827043201,-8.904622840911447
123,1.564231507802264,66,0,0.16665000166650001,0.23609143698670984,0.31499042391948173,-5.207979553983624
58,0.9906571386170736,33,1,0.31251526044072414,0.3221343540443477,0.3143600855551051,-8.904622840911447
119,1.5378669011837791,64,0,0.16665000166650001,0.22220370543193005,0.29900262277464373,-5.207979553983624
120,0.9233132518964119,64,1,0.3194424537276231,0.31855864529718764,0.29453743472704136,-12.3736465490325
124,0.9089914253479382,66,1,0.3194424537276231,0.32083132918210683,0.29100168927001585,-12.3736465490325
4,0.8563792388001344,6,1,0.32964798063240325,0.34990745112653926,0.29097858168610996,-2.3111764057093467
142,0.9172669031045232,75,1,0.3069425995606438,0.324189037906454,0.2894580812753657,-12.3736465490325
22,0.9011132703664352,15,1,0.3353638140946384,0.30659151744693675,0.28923723411729896,-5.290756352166808
138,0.9106026161740425,73,1,0.3069425995606438,0.32579157632720995,0.2880846979531032,-12.3736465490325
107,1.9221631807351363,58,0,0.1249895842707448,0.17359924866648033,0.28696823042530445,-5.207979553983624
1,0.8112960560897494,5,0,0.33749050722139207,0.3555450651569476,0.28112851330022454,-2.3056170563034732
129,1.3889281491709131,69,0,0.16665000166650001,0.23609143698670984,0.27968946049151683,-6.3765883677334125
103,1.892444580573619,56,0,0.1249895842707448,0.16665509356472516,0.2759606950114371,-5.207979553983624
131,1.313614271519744,70,0,0.16665000166650001,0.23609143698670984,0.264523450773625,-6.3765883677334125
24,0.794229182409086,16,1,0.33874301647576477,0.305298395187536,0.25575824191146845,-5.290756352166808
115,1.4716623455635371,62,0,0.1249895842707448,0.21525966606223554,0.2503660049106345,-8.199523527854154
130,0.7431377193077991,69,1,0.3236090995610606,0.3265713590315823,0.2415868115685178,-12.3736465490325
126,0.6740120736352728,67,1,0.3194424537276231,0.3113616709521217,0.212584798066539,-12.3736465490325
128,0.6519905255439077,68,1,0.3194424537276231,0.32354111385169,0.2096095970710665,-12.3736465490325
144,0.6760386042593622,76,1,0.2861097870476233,0.324189037906454,0.20629278290154163,-12.3736465490325
2,0.5508086038388202,5,1,0.31868469425024554,0.3301107588028815,0.17868105883658386,-3.163363432806008
132,0.5132990672482096,70,1,0.3194424537276231,0.3237935473042126,0.16508621967505482,-12.3736465490325
136,0.5101277971724305,72,1,0.3194424537276231,0.3258115876238225,0.16458101136561065,-12.3736465490325
111,0.8786706283202358,60,0,0.1249895842707448,0.17359924866648033,0.13118061872317877,-8.199523527854154
125,0.6014860959007685,67,0,0.16665000166650001,0.19443101959095463,0.10859260689000441,-5.207979553983624
127,0.5041020280882861,68,0,0.16665000166650001,0.2083187511457344,0.09451125438119129,-6.3765883677334125
146,0.24968864406158656,78,0,0.08332500083325001,0.1874828141795205,0.03380881806590982,-3.759170934527809
145,0.2132415876441268,77,0,0.08332500083325001,0.18331633500649988,0.02842951089300954,-3.759170934527809
0,0.052378737855844036,3,0,0.3446362046387772,0.441856727156599,0.020597753549992114,-2.342117356524267
