,maxx,i,j,q,orders_long,orders_short,alpha
1303,4.524314568593442,10,28,4,5,2,15.835100990077047
2567,3.9473854261826125,19,36,3,6,2,15.78954170473045
2558,5.254066802438817,19,34,9,4,2,15.762200407316449
411,2.236802688959919,4,30,9,10,4,15.657618822719432
2273,4.472691951564974,17,34,2,5,2,15.654421830477407
2536,6.245610047607357,19,32,4,3,2,15.614025119018393
432,2.3939915419281146,4,32,11,9,4,15.560945022532746
159,1.238996192235181,2,38,9,14,11,15.487452402939764
1181,3.867721816038374,9,32,10,7,1,15.470887264153497
449,2.0600634533729596,4,34,9,10,5,15.450475900297198
319,1.9295511238039242,3,38,10,10,6,15.436408990431394
957,5.144787185049961,8,24,10,4,2,15.434361555149884
916,3.8585762994947412,7,36,14,5,3,15.434305197978965
1135,3.849035938595276,9,26,16,6,2,15.396143754381104
413,2.188067668296046,4,30,11,10,4,15.31647367807232
90,1.2241860147263046,2,28,15,16,9,15.302325184078807
2843,5.099260789438169,21,38,1,4,2,15.297782368314508
2545,6.111582665589782,19,32,13,3,2,15.278956663974455
2966,5.073950543303984,22,38,2,4,2,15.221851629911953
1469,6.046031483921923,11,32,2,4,1,15.115078709804807
1898,5.011371854049869,14,36,9,4,2,15.034115562149605
968,3.7331849009537272,8,26,2,5,3,14.932739603814909
428,2.291971622158847,4,32,7,9,4,14.897815544032504
501,2.7078395286982944,5,24,9,7,4,14.893117407840618
1600,5.949966045260701,12,32,2,4,1,14.874915113151753
1716,4.237724542537409,13,30,9,5,2,14.832035898880932
42,1.2347590407970437,2,24,5,17,7,14.817108489564525
2571,3.70426854648809,19,36,7,6,2,14.81707418595236
2036,7.37379415071252,15,38,1,2,2,14.74758830142504
899,2.6706266435433057,7,34,16,7,4,14.688446539488181
2126,7.330815000900392,16,30,18,2,2,14.661630001800784
180,1.9526113486850034,3,22,2,10,5,14.644585115137525
445,1.9500858414251157,4,34,5,10,5,14.625643810688368
2708,4.178648537878828,20,36,12,5,2,14.625269882575896
2160,3.630193313349048,16,36,1,6,2,14.520773253396191
2171,3.606644158730912,16,36,12,6,2,14.426576634923649
443,1.9142092517007583,4,34,3,10,5,14.356569387755687
863,3.582546339349457,7,30,18,6,2,14.330185357397829
3237,4.087716165455508,25,36,1,2,5,14.30700657909428
426,2.1999574252204614,4,32,5,9,4,14.299723263933
2847,4.73420307157873,21,38,5,4,2,14.202609214736192
179,1.8751585771754546,3,22,1,10,5,14.06368932881591
2039,7.004542712941084,15,38,4,2,2,14.009085425882168
95,1.1204493691347042,2,30,1,14,11,14.005617114183803
