,maxx,i,j,q,orders_long,orders_short,alpha
5917,25.43015897893113,20,31,9,5,5,127.15079489465565
2180,18.152083854764335,10,34,15,5,9,127.06458698335035
4131,19.473975396842466,15,37,9,6,7,126.58084007947603
4112,19.431157602126238,15,36,9,6,7,126.30252441382055
3967,27.925904028576674,15,28,16,4,5,125.66656812859503
2216,16.694070855859174,10,36,13,6,9,125.2055314189438
642,9.26431133674566,6,33,16,12,15,125.06820304606642
7470,22.727415196084543,24,33,4,4,7,125.00078357846499
4511,20.79994983543995,16,37,9,5,7,124.7996990126397
5903,27.71389253181568,20,30,14,6,3,124.71251639317056
588,11.334825494679263,6,30,19,9,13,124.6830804414719
4113,19.125511327442233,15,36,10,6,7,124.31582362837452
4888,20.673906027643234,17,37,6,5,7,124.0434361658594
4424,20.65073732497066,16,32,17,5,7,123.90442394982395
4400,27.469561555513973,16,31,12,2,7,123.61302699981287
4510,20.59952333736251,16,37,8,5,7,123.59714002417505
4401,27.465055763218764,16,31,13,2,7,123.59275093448444
5900,27.438605596675792,20,30,11,6,3,123.47372518504106
7083,22.40815587150442,23,32,16,6,5,123.24485729327431
4890,20.527613854722777,17,37,8,5,7,123.16568312833667
7525,27.369211766608487,24,36,2,3,6,123.16145294973819
4744,24.560658883441747,17,29,14,4,6,122.80329441720873
3929,24.540032863982738,15,26,16,4,6,122.70016431991368
7478,22.269581035108107,24,33,12,4,7,122.48269569309458
3928,24.472333151605326,15,26,15,4,6,122.36166575802663
5935,24.452298438235566,20,32,8,4,6,122.26149219117784
4887,20.33410231419832,17,37,5,5,7,122.00461388518991
7079,22.161489256020513,23,32,12,6,5,121.88819090811282
4422,20.277129068761873,16,32,15,5,7,121.66277441257124
5989,24.313227434010365,20,35,5,3,7,121.56613717005183
4328,26.987659310511443,16,27,16,4,5,121.4444668973015
4329,26.981351201657723,16,27,17,4,5,121.41608040745976
5141,24.239190522505822,18,30,12,6,4,121.19595261252911
7482,21.975199741160445,24,33,16,4,7,120.86359857638244
2233,14.200509890413871,10,37,11,6,11,120.70433406851791
4743,24.1400457977084,17,29,13,4,6,120.700228988542
5249,21.926935631521566,18,36,6,6,5,120.59814597336862
4905,20.095167207405655,17,38,4,5,7,120.57100324443394
3875,34.448617566923794,15,23,19,3,4,120.57016148423328
4746,24.09863250500796,17,29,16,4,6,120.49316252503979
2232,14.171355617014614,10,37,10,6,11,120.45652274462422
1509,10.020581918905371,8,39,9,11,13,120.24698302686446
7868,24.018385845366357,25,34,3,5,5,120.09192922683178
7090,19.98812160025357,23,33,4,6,6,119.92872960152143
3874,34.23484002494931,15,23,18,3,4,119.82194008732257
4472,21.77792327215204,16,35,8,5,6,119.77857799683622
4473,21.772641674853325,16,35,9,5,6,119.74952921169329
4906,19.931264997153924,17,38,5,5,7,119.58758998292355
4363,29.86442569353791,16,29,13,3,5,119.45770277415164
2215,15.8415139914191,10,36,12,6,9,118.81135493564325
4908,19.783229310604195,17,38,7,5,7,118.69937586362516
7488,23.72587916658393,24,34,3,4,6,118.62939583291964
2214,15.812359718019845,10,36,11,6,9,118.59269788514884
3661,19.714104550526194,14,32,14,7,5,118.28462730315717
4019,26.26140227216881,15,31,11,5,4,118.17631022475965
4494,16.867747284575348,16,36,11,7,7,118.07423099202744
4382,29.498200216592775,16,30,13,2,6,117.9928008663711
4383,29.492943459039882,16,30,14,2,6,117.97177383615953
2178,16.836775663220365,10,34,13,5,9,117.85742964254256
4726,26.17290709485834,17,28,15,4,5,117.77808192686253
4018,26.167821144217303,15,31,10,5,4,117.75519514897786
8256,21.393355630855655,26,34,11,4,7,117.6634559697061
3856,33.59650075416963,15,22,19,3,4,117.58775263959372
4929,19.571346231518085,17,39,9,6,6,117.42807738910851
