,maxx,i,j,z,orders_long,orders_short,alpha
0,1.2112876898760379,1,6,4,27,33,36.338630696281136
4,1.1770239719992348,1,10,7,28,32,35.31071915997705
3,0.8462116163619705,1,9,5,23,37,25.386348490859117
2,0.6318332878539503,1,8,4,25,35,18.95499863561851
5,0.24421250277082987,1,10,9,27,33,7.326375083124896
1,0.16320030567874227,1,7,6,31,29,4.896009170362269
