,close_time,o,h,l,c,v
0,2018-10-31 23:59:59.999,197.24,201.45,193.01,198.73,114739.70424
1,2018-11-01 23:59:59.999,198.7,200.95,197.88,199.96,86097.98629
2,2018-11-02 23:59:59.999,199.93,203.74,199.34,202.35,97123.22813
3,2018-11-03 23:59:59.999,202.31,202.69,198.59,200.31,72084.92932
4,2018-11-04 23:59:59.999,200.27,218.76,199.0,212.11,182534.6216
5,2018-11-05 23:59:59.999,212.13,213.39,207.62,210.66,141432.1406
6,2018-11-06 23:59:59.999,210.64,221.25,209.11,220.74,197797.49527
7,2018-11-07 23:59:59.999,220.77,224.8,217.01,219.07,204931.0342
8,2018-11-08 23:59:59.999,219.06,220.78,212.49,212.79,189828.4945
9,2018-11-09 23:59:59.999,212.79,215.51,209.1,210.77,152215.94686
10,2018-11-10 23:59:59.999,210.78,215.55,209.02,213.25,131384.47893
11,2018-11-11 23:59:59.999,213.27,213.99,209.0,212.54,136268.81156
12,2018-11-12 23:59:59.999,212.6,214.22,210.9,212.89,99963.97203
13,2018-11-13 23:59:59.999,212.91,213.8,209.2,209.84,114466.36708
14,2018-11-14 23:59:59.999,209.84,210.3,176.16,187.43,434676.16832
15,2018-11-15 23:59:59.999,187.43,190.0,170.99,184.35,452416.10784
16,2018-11-16 23:59:59.999,184.35,185.0,173.0,176.89,241710.34763
17,2018-11-17 23:59:59.999,176.93,177.91,173.94,176.2,144804.70986
18,2018-11-18 23:59:59.999,176.2,182.94,176.1,178.97,141736.32263
19,2018-11-19 23:59:59.999,179.04,179.33,146.47,150.81,596789.83916
20,2018-11-20 23:59:59.999,150.76,154.7,126.95,133.82,996552.28721
21,2018-11-21 23:59:59.999,133.68,142.01,127.15,138.23,718957.78552
22,2018-11-22 23:59:59.999,138.36,140.4,125.64,126.63,334674.07185
23,2018-11-23 23:59:59.999,126.58,128.9,118.56,125.02,504352.24386
24,2018-11-24 23:59:59.999,125.0,130.81,112.32,114.89,471321.56764
25,2018-11-25 23:59:59.999,114.83,122.35,102.95,118.67,836233.31252
26,2018-11-26 23:59:59.999,118.65,121.5,106.41,110.68,679477.36231
27,2018-11-27 23:59:59.999,110.66,114.31,102.36,111.43,524024.40616
28,2018-11-28 23:59:59.999,111.38,126.8,111.37,122.9,578552.74124
29,2018-11-29 23:59:59.999,122.88,124.0,114.78,117.98,478777.39614
30,2018-11-30 23:59:59.999,117.99,120.26,111.09,113.73,418593.63529
31,2018-12-01 23:59:59.999,113.71,120.8,111.35,118.1,330159.06742
32,2018-12-02 23:59:59.999,118.09,120.73,116.0,116.57,273657.6215
33,2018-12-03 23:59:59.999,116.63,116.96,106.7,108.76,324446.03324
34,2018-12-04 23:59:59.999,108.76,113.2,106.0,109.94,275321.0063
35,2018-12-05 23:59:59.999,109.92,110.58,102.38,102.71,354071.53241
36,2018-12-06 23:59:59.999,102.73,104.68,90.2,91.0,586138.59043
37,2018-12-07 23:59:59.999,91.18,96.9,82.07,93.05,1030073.58467
38,2018-12-08 23:59:59.999,93.06,98.0,84.55,90.38,698217.12529
39,2018-12-09 23:59:59.999,90.39,98.7,88.63,93.26,520519.36023
40,2018-12-10 23:59:59.999,93.26,95.21,88.11,89.91,408573.02929
41,2018-12-11 23:59:59.999,89.88,91.65,85.83,87.76,339991.84246
42,2018-12-12 23:59:59.999,87.77,91.31,86.63,89.41,285436.04029
43,2018-12-13 23:59:59.999,89.39,90.71,84.71,86.34,331218.30083
44,2018-12-14 23:59:59.999,86.35,87.25,82.2,83.82,318003.73427
45,2018-12-15 23:59:59.999,83.82,85.0,81.79,83.76,217360.65775
46,2018-12-16 23:59:59.999,83.75,87.64,83.73,84.67,241366.76305
47,2018-12-17 23:59:59.999,84.68,97.0,84.4,94.02,472252.23388
48,2018-12-18 23:59:59.999,94.03,101.3,91.34,100.39,529946.79175
49,2018-12-19 23:59:59.999,100.39,107.55,97.75,98.74,827748.59096
50,2018-12-20 23:59:59.999,98.73,116.0,97.88,114.05,859612.57205
51,2018-12-21 23:59:59.999,113.71,118.0,104.76,107.69,666048.71786
52,2018-12-22 23:59:59.999,107.67,115.5,105.38,115.2,405672.83117
53,2018-12-23 23:59:59.999,115.18,131.94,114.91,129.03,936094.1049
54,2018-12-24 23:59:59.999,129.03,157.67,128.8,138.03,1319609.8165
55,2018-12-25 23:59:59.999,138.01,139.26,119.68,127.6,1076164.12809
56,2018-12-26 23:59:59.999,127.61,135.32,122.51,129.35,794834.05601
57,2018-12-27 23:59:59.999,129.35,131.09,111.22,113.8,752177.90111
58,2018-12-28 23:59:59.999,113.75,136.66,111.87,135.3,894454.19051
59,2018-12-29 23:59:59.999,135.3,145.42,128.5,132.89,1006654.49844
60,2018-12-30 23:59:59.999,133.0,139.0,127.03,137.77,704259.41614
61,2018-12-31 23:59:59.999,137.81,138.66,128.7,131.45,484604.83962
62,2019-01-01 23:59:59.999,131.45,140.67,130.0,139.1,401776.88797
63,2019-01-02 23:59:59.999,139.1,155.37,137.76,152.01,941486.31524
64,2019-01-03 23:59:59.999,152.01,153.64,143.11,146.3,708091.31714
65,2019-01-04 23:59:59.999,146.3,154.8,143.54,151.97,805248.93821
66,2019-01-05 23:59:59.999,152.08,159.26,151.2,152.83,773169.13736
67,2019-01-06 23:59:59.999,152.83,157.4,147.51,153.86,627908.47366
68,2019-01-07 23:59:59.999,153.89,155.48,147.86,149.34,424765.30258
69,2019-01-08 23:59:59.999,149.29,151.65,145.2,147.6,441661.06778
70,2019-01-09 23:59:59.999,147.62,151.5,146.77,148.1,299443.563
71,2019-01-10 23:59:59.999,148.11,149.45,121.0,124.95,871751.75038
72,2019-01-11 23:59:59.999,124.96,127.36,120.08,124.65,545293.98369
73,2019-01-12 23:59:59.999,124.67,126.19,122.0,123.35,300262.13404
74,2019-01-13 23:59:59.999,123.35,124.25,111.87,114.16,422561.96777
75,2019-01-14 23:59:59.999,114.17,130.05,113.94,126.95,546420.40854
76,2019-01-15 23:59:59.999,126.95,129.4,116.0,118.95,649020.5297
77,2019-01-16 23:59:59.999,118.93,126.88,118.52,121.48,513486.65472
78,2019-01-17 23:59:59.999,121.49,122.99,116.8,121.54,447535.22716
79,2019-01-18 23:59:59.999,121.56,121.98,117.66,119.17,235646.684
80,2019-01-19 23:59:59.999,119.16,125.29,119.14,122.6,323303.79296
81,2019-01-20 23:59:59.999,122.61,123.32,115.68,117.47,451792.85352
82,2019-01-21 23:59:59.999,117.56,118.5,113.61,115.63,303632.93463
83,2019-01-22 23:59:59.999,115.62,119.49,111.39,117.81,359542.63873
84,2019-01-23 23:59:59.999,117.8,118.95,114.8,116.44,230247.61578
85,2019-01-24 23:59:59.999,116.4,117.15,113.61,116.39,216242.29829
86,2019-01-25 23:59:59.999,116.4,117.5,114.3,115.11,198617.08108
87,2019-01-26 23:59:59.999,115.13,118.0,115.0,115.34,146216.82819
88,2019-01-27 23:59:59.999,115.32,116.15,111.04,112.05,247369.60555
89,2019-01-28 23:59:59.999,112.04,112.87,100.91,105.5,566205.78288
90,2019-01-29 23:59:59.999,105.49,106.61,102.22,104.45,319768.91348
91,2019-01-30 23:59:59.999,104.41,109.8,103.45,108.29,330968.19265
92,2019-01-31 23:59:59.999,108.29,110.61,105.46,106.44,290679.61935
93,2019-02-01 23:59:59.999,106.47,108.35,103.77,106.73,243149.88435
94,2019-02-02 23:59:59.999,106.71,111.15,106.07,110.42,186908.7573
95,2019-02-03 23:59:59.999,110.41,111.11,105.82,107.36,227211.54064
96,2019-02-04 23:59:59.999,107.33,109.3,106.57,107.68,160850.10293
97,2019-02-05 23:59:59.999,107.65,108.18,106.47,107.27,159730.1886
98,2019-02-06 23:59:59.999,107.28,107.83,101.21,104.5,337204.30254
99,2019-02-07 23:59:59.999,104.49,106.18,103.82,104.48,147942.07683
100,2019-02-08 23:59:59.999,104.48,123.0,103.41,119.25,589950.64925
101,2019-02-09 23:59:59.999,119.32,121.99,117.64,119.19,328067.9574
102,2019-02-10 23:59:59.999,119.19,126.49,115.81,125.12,385819.09619
103,2019-02-11 23:59:59.999,125.12,125.28,119.24,120.89,389405.30404
104,2019-02-12 23:59:59.999,120.88,123.89,118.18,122.41,343765.66987
105,2019-02-13 23:59:59.999,122.4,126.47,120.7,121.86,317827.31956
106,2019-02-14 23:59:59.999,121.86,124.5,120.1,120.42,297205.78738
107,2019-02-15 23:59:59.999,120.47,124.25,120.19,121.67,255296.0814
108,2019-02-16 23:59:59.999,121.66,124.99,121.54,122.67,215320.70134
109,2019-02-17 23:59:59.999,122.67,135.61,122.43,133.75,614788.60078
110,2019-02-18 23:59:59.999,133.77,148.3,132.42,145.69,1079830.1502
111,2019-02-19 23:59:59.999,145.69,150.0,142.36,143.44,747968.90445
112,2019-02-20 23:59:59.999,143.45,149.52,139.6,148.44,614303.61007
113,2019-02-21 23:59:59.999,148.42,149.61,142.7,145.69,447364.40873
114,2019-02-22 23:59:59.999,145.68,148.85,143.85,147.36,366251.18542
115,2019-02-23 23:59:59.999,147.4,159.6,145.78,157.79,588183.72896
116,2019-02-24 23:59:59.999,157.75,166.0,131.7,132.1,1260506.80672
117,2019-02-25 23:59:59.999,132.1,141.55,131.89,137.87,801147.09543
118,2019-02-26 23:59:59.999,137.88,138.41,133.72,136.22,432944.17033
119,2019-02-27 23:59:59.999,136.22,140.29,126.84,135.02,567202.61035
120,2019-02-28 23:59:59.999,135.03,139.0,132.1,135.34,579327.31749
121,2019-03-01 23:59:59.999,135.32,137.95,134.9,135.32,302632.02831
122,2019-03-02 23:59:59.999,135.32,136.12,130.03,132.56,297005.28093
123,2019-03-03 23:59:59.999,132.54,134.6,128.01,130.6,222453.2859
124,2019-03-04 23:59:59.999,130.6,131.11,122.6,125.65,403947.79445
125,2019-03-05 23:59:59.999,125.68,137.84,125.19,136.72,512631.23178
126,2019-03-06 23:59:59.999,136.71,140.29,133.33,137.4,428826.87415
127,2019-03-07 23:59:59.999,137.37,140.2,135.2,136.81,307336.4931
128,2019-03-08 23:59:59.999,136.82,139.34,130.62,133.52,330283.58233
129,2019-03-09 23:59:59.999,133.51,138.65,132.93,137.27,279861.12049
130,2019-03-10 23:59:59.999,137.27,137.5,134.0,135.37,203965.16815
131,2019-03-11 23:59:59.999,135.37,136.15,131.0,132.67,264587.00683
132,2019-03-12 23:59:59.999,132.67,135.3,130.77,133.57,194905.96843
133,2019-03-13 23:59:59.999,133.62,133.65,130.58,131.65,209456.09848
134,2019-03-14 23:59:59.999,131.69,135.11,128.52,132.2,258413.81868
135,2019-03-15 23:59:59.999,132.24,137.62,132.18,136.56,295832.26562
136,2019-03-16 23:59:59.999,136.6,144.47,136.51,140.92,474664.10197
137,2019-03-17 23:59:59.999,140.94,141.07,137.2,138.67,252697.08148
138,2019-03-18 23:59:59.999,138.67,142.01,136.1,137.59,281718.96195
139,2019-03-19 23:59:59.999,137.62,139.38,136.97,138.55,218577.45208
140,2019-03-20 23:59:59.999,138.56,139.66,136.01,139.01,222883.51754
141,2019-03-21 23:59:59.999,139.04,139.55,131.21,134.85,312531.39368
142,2019-03-22 23:59:59.999,134.85,137.2,134.29,135.98,186119.74745
143,2019-03-23 23:59:59.999,135.92,138.21,135.6,137.28,174710.43059
144,2019-03-24 23:59:59.999,137.28,137.37,134.75,136.09,198490.45124
145,2019-03-25 23:59:59.999,136.12,136.83,131.6,133.98,230880.285
146,2019-03-26 23:59:59.999,133.97,134.74,132.27,134.18,183139.11426
147,2019-03-27 23:59:59.999,134.14,140.14,133.84,139.45,317167.45325
148,2019-03-28 23:59:59.999,139.46,139.57,137.3,137.86,163185.6991
149,2019-03-29 23:59:59.999,137.85,143.6,137.62,143.25,235853.0454
150,2019-03-30 23:59:59.999,143.25,145.89,140.06,142.46,254798.70067
151,2019-03-31 23:59:59.999,142.44,142.5,140.42,141.38,142469.21171
152,2019-04-01 23:59:59.999,141.41,143.08,139.57,141.24,234310.19161
153,2019-04-02 23:59:59.999,141.24,165.6,141.0,163.31,906868.8586
154,2019-04-03 23:59:59.999,163.26,177.81,149.23,159.96,1345344.53845
155,2019-04-04 23:59:59.999,159.96,164.0,152.8,157.36,686080.95248
156,2019-04-05 23:59:59.999,157.33,167.83,155.94,164.77,516070.34553
157,2019-04-06 23:59:59.999,164.84,172.77,159.2,165.5,528168.33297
158,2019-04-07 23:59:59.999,165.56,175.43,164.06,174.21,465507.52497
